iter	MAE
1485	8014.824204
1486	8013.147713
1487	8008.323064
1488	8003.843513
1489	8001.795477
1490	8000.079662
1491	7994.963928
1492	7991.432705
1493	7985.176629
1494	7981.395814
1495	7978.682111
1496	7975.548413
1497	7972.290582
1498	7969.741624
1499	7965.241437
1500	7964.378986
1501	7961.00982
1502	7958.219131
1503	7953.970186
1504	7949.766192
1505	7946.277184
1506	7943.924669
1507	7942.530638
1508	7941.257954
1509	7939.308735
1510	7937.5421
1511	7934.732828
1512	7931.357309
1513	7928.803593
1514	7925.212018
1515	7921.435469
1516	7919.074471
1517	7916.503233
1518	7915.288252
1519	7913.74311
1520	7910.16868
1521	7908.25544
1522	7905.069674
1523	7900.938096
1524	7898.331922
1525	7896.143273
1526	7890.91059
1527	7887.806808
1528	7883.521062
1529	7880.377573
1530	7876.964775
1531	7873.482032
1532	7870.716194
1533	7869.313843
1534	7866.224729
1535	7865.133474
1536	7861.841159
1537	7858.468835
1538	7854.30234
1539	7852.690282
1540	7850.879929
1541	7849.015839
1542	7845.999099
1543	7843.10822
1544	7840.188237
1545	7838.582931
1546	7836.810147
1547	7834.841877
1548	7831.160864
1549	7829.309226
1550	7827.347925
1551	7822.6485
1552	7819.967126
1553	7816.109056
1554	7814.371687
1555	7810.718674
1556	7805.692647
1557	7802.377995
1558	7799.878526
1559	7795.032989
1560	7792.424996
1561	7788.356224
1562	7787.313344
1563	7783.970094
1564	7782.369563
1565	7780.277619
1566	7779.011434
1567	7774.667349
1568	7771.670579
1569	7767.098506
1570	7764.471126
1571	7760.000048
1572	7758.830628
1573	7756.343353
1574	7752.674263
1575	7751.688633
1576	7748.414432
1577	7746.618023
1578	7745.273717
1579	7743.569841
1580	7741.371717
1581	7739.479481
1582	7737.125442
1583	7735.558954
1584	7731.635694
1585	7728.338446
1586	7725.544043
1587	7723.361978
1588	7720.911923
1589	7718.981465
1590	7716.962041
1591	7712.841472
1592	7708.789593
1593	7707.704687
1594	7705.776057
1595	7704.453228
1596	7702.717595
1597	7700.14721
1598	7698.24204
1599	7697.366929
1600	7693.855335
1601	7690.962923
1602	7689.395273
1603	7686.535414
1604	7683.571985
1605	7680.91733
1606	7679.087758
1607	7677.229912
1608	7674.35988
1609	7673.413179
1610	7670.392539
1611	7667.424511
1612	7666.122545
1613	7663.665387
1614	7659.884846
1615	7657.928318
1616	7654.790937
1617	7651.115078
1618	7649.153446
1619	7645.739976
1620	7643.113287
1621	7638.924398
1622	7635.435518
1623	7633.974314
1624	7631.68795
1625	7628.427566
1626	7624.792485
1627	7622.691884
1628	7619.094384
1629	7616.519609
1630	7614.815546
1631	7612.453578
1632	7610.141152
1633	7608.224827
1634	7606.03462
1635	7604.175433
1636	7601.620772
1637	7598.088257
1638	7596.56929
1639	7592.724295
1640	7589.417342
1641	7587.47223
1642	7585.741614
1643	7583.063146
1644	7580.72379
1645	7576.931853
1646	7575.031858
1647	7570.669848
1648	7568.585163
1649	7565.317084
1650	7564.100486
1651	7561.680288
1652	7555.701064
1653	7553.475385
1654	7551.356117
1655	7548.760499
1656	7545.639946
1657	7543.581703
1658	7541.002069
1659	7537.731323
1660	7535.778601
1661	7532.635734
